unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount,index
1.61E+12,11/12/2020 0:00,BTC/USDT,15684.25,16340.7,15440.64,16291.86,102196.3566,1628755509,1472049,1185
1.61E+12,11/11/2020 0:00,BTC/USDT,15297.21,15965,15272.68,15684.24,78469.74646,1226425496,1247167,1184
1.60E+12,11/10/2020 0:00,BTC/USDT,15328.41,15460,15072.46,15297.21,61681.91961,943615126.1,1093466,1183
1.60E+12,11/9/2020 0:00,BTC/USDT,15475.1,15840,14805.54,15328.41,108976.3341,1670447936,1505441,1182
1.60E+12,11/8/2020 0:00,BTC/USDT,14818.3,15650,14703.88,15475.1,65547.17857,998031373.8,998773,1181
1.60E+12,11/7/2020 0:00,BTC/USDT,15579.93,15753.52,14344.22,14818.3,101431.2066,1536510177,1557021,1180
1.60E+12,11/6/2020 0:00,BTC/USDT,15590.02,15960,15166,15579.92,122618.1977,1909660729,1654968,1179
1.60E+12,11/5/2020 0:00,BTC/USDT,14144.01,15750,14093.56,15590.02,143741.5227,2131865609,1736055,1178
1.60E+12,11/4/2020 0:00,BTC/USDT,14023.53,14259,13525,14144.01,93016.98826,1293872665,1212959,1177
1.60E+12,11/3/2020 0:00,BTC/USDT,13549.63,14066.11,13284.99,14023.53,74115.63079,1009402088,1052569,1176
1.60E+12,11/2/2020 0:00,BTC/USDT,13761.49,13830,13195.05,13549.37,64566.42191,873629993.8,869850,1175
1.60E+12,11/1/2020 0:00,BTC/USDT,13791,13895,13603,13761.5,36285.64853,499124369.1,606248,1174
1.60E+12,10/31/2020 0:00,BTC/USDT,13560.1,14100,13411.5,13791,67339.23852,927048458.5,1022202,1173
1.60E+12,10/30/2020 0:00,BTC/USDT,13455.69,13669.98,13115,13560.1,70657.77888,946818817.6,1060387,1172
1.60E+12,10/29/2020 0:00,BTC/USDT,13266.4,13642.91,12920.77,13455.7,74872.60213,997867948.9,1008433,1171
1.60E+12,10/28/2020 0:00,BTC/USDT,13636.16,13859.48,12888,13266.4,94440.56123,1263487953,1234511,1170
1.60E+12,10/27/2020 0:00,BTC/USDT,13052.15,13789.29,13019.87,13636.17,80796.554,1085214438,1003550,1169
1.60E+12,10/26/2020 0:00,BTC/USDT,13029.64,13238.81,12765,13052.19,60951.67299,794395722.5,818144,1168
1.60E+12,10/25/2020 0:00,BTC/USDT,13111.73,13350,12888,13028.83,38481.5795,502672049.2,610498,1167
1.60E+12,10/24/2020 0:00,BTC/USDT,12923.06,13166.73,12870,13111.73,35952.20907,468299521.8,536821,1166
1.60E+12,10/23/2020 0:00,BTC/USDT,12968.84,13027.69,12720.08,12923.07,50386.99984,650680239.1,699313,1165
1.60E+12,10/22/2020 0:00,BTC/USDT,12780.75,13185,12678.08,12968.52,70038.82414,905778888.9,1035811,1164
1.60E+12,10/21/2020 0:00,BTC/USDT,11910,13217.68,11886.95,12780.96,114584.4568,1437122187,1453620,1163
1.60E+12,10/20/2020 0:00,BTC/USDT,11751.46,12038.38,11677.59,11909.99,62134.75066,737425592.1,906111,1162
1.60E+12,10/19/2020 0:00,BTC/USDT,11503.14,11823.99,11407.96,11751.47,47414.53469,550728683.8,650960,1161
1.60E+12,10/18/2020 0:00,BTC/USDT,11360.31,11505,11346.22,11503.14,23284.04119,266150824.3,346946,1160
1.60E+12,10/17/2020 0:00,BTC/USDT,11319.24,11402.42,11255,11360.2,22368.91524,253582776,365973,1159
1.60E+12,10/16/2020 0:00,BTC/USDT,11505.13,11541.15,11200,11319.32,48797.7495,553211001.6,693210,1158
1.60E+12,10/15/2020 0:00,BTC/USDT,11417.89,11617.34,11250.83,11505.12,48760.71768,556436445.6,662386,1157
1.60E+12,10/14/2020 0:00,BTC/USDT,11420.57,11547.98,11280,11417.89,41415.10602,472007015.7,590025,1156
1.60E+12,10/13/2020 0:00,BTC/USDT,11528.24,11557,11300,11420.56,42205.28371,482663390.7,618262,1155
1.60E+12,10/12/2020 0:00,BTC/USDT,11369.02,11720.01,11172,11528.25,52825.28371,604779845.8,740823,1154
1.60E+12,10/11/2020 0:00,BTC/USDT,11293.22,11445,11221,11369.02,29043.85134,329927755,509714,1153
1.60E+12,10/10/2020 0:00,BTC/USDT,11050.64,11491,11050.51,11293.22,43648.03694,494785212.2,698561,1152
1.60E+12,10/9/2020 0:00,BTC/USDT,10925.44,11104.64,10829,11050.64,48240.07324,530822321.5,635681,1151
1.60E+12,10/8/2020 0:00,BTC/USDT,10666.4,10950,10530.41,10925.57,51959.69157,559311760.4,659291,1150
1.60E+12,10/7/2020 0:00,BTC/USDT,10599.65,10681.87,10546.17,10666.39,32811.99028,348298562.9,503440,1149
1.60E+12,10/6/2020 0:00,BTC/USDT,10792.2,10800,10525,10599.66,48674.74047,520051256.1,734526,1148
1.60E+12,10/5/2020 0:00,BTC/USDT,10666.62,10798,10615.64,10792.21,34025.76165,364158510.2,483340,1147
